Player,Team,Season,Position,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,PA,xPA,Passes,Pass %,xPass %,Score,Per100,Distance,Vertical,Touch %,Games,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Daniel Bedoya,TUC,2021,CM,1538,20,5,3,1.72,0.7,1.28,33,3,2.23,0.77,3.94,2.0,1.35,873,80.1%,80.7%,-5.18,-0.59,23.16,4.94,7.0%,26,-0.03,0.12,-0.17,0.38,-0.44,0.02,-0.13
Daniel Steedman,NC,2021,CM,506,8,0,0,0.4,-0.4,-0.4,3,0,0.19,-0.19,0.6,0.0,0.24,228,77.2%,81.7%,-10.23,-4.49,20.32,3.77,6.8%,8,-0.01,0.04,0.28,-0.08,0.05,-0.07,0.21
Dante Campbell,TOR,2021,CM,1108,6,1,0,0.45,-0.1,-0.45,5,0,0.19,-0.19,0.64,0.0,0.28,450,80.7%,81.3%,-2.78,-0.62,20.97,5.17,5.0%,20,-0.06,0.21,0.11,0.15,-0.28,-0.23,-0.09
David Texeira,CHA,2021,ST,179,3,2,0,0.5,0.26,-0.5,0,0,0.0,0.0,0.5,0.0,0.36,34,67.7%,73.7%,-2.06,-6.06,13.67,-3.5,2.9%,3,-0.1,-0.01,-0.02,-0.05,0.18,-0.02,-0.02
Dennis Ramirez,NER,2021,CM,114,1,1,0,0.02,0.02,-0.02,0,0,0.0,0.0,0.02,0.0,0.0,71,88.7%,89.3%,-0.42,-0.6,19.66,1.57,1.7%,8,-0.07,-0.05,0.06,-0.04,-0.05,-0.01,-0.16
Denso Ulysse,RIC,2021,FB,52,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,16,43.8%,58.6%,-2.37,-14.8,13.95,5.37,3.0%,2,-0.03,0.0,0.07,-0.09,-0.01,-0.01,-0.07
Derek Gebhard,MAD,2021,W,2434,44,14,5,5.51,-0.47,-0.51,22,1,1.73,-0.73,7.24,3.76,4.46,860,78.6%,77.8%,6.46,0.75,16.68,0.19,7.6%,27,1.06,0.31,0.02,-1.4,0.6,0.65,1.22
Derek Waldeck,NTX,2021,FB,2245,12,1,0,1.2,-1.05,-1.2,26,4,2.68,1.32,3.89,0.0,0.95,1469,76.9%,76.0%,13.2,0.9,22.21,5.91,10.5%,27,-0.15,0.12,-0.07,0.58,-0.04,-0.03,0.41
Deri Corfe,TUC,2021,W,1922,69,31,7,5.73,0.81,1.27,19,2,2.09,-0.09,7.82,3.49,3.37,632,81.3%,78.3%,19.37,3.07,16.19,-0.3,6.5%,26,1.27,-0.0,-0.34,-0.51,0.34,0.81,1.57
Devante Dubose,RIC,2021,FB,55,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6,66.7%,67.6%,-0.06,-0.97,26.57,21.21,1.0%,3,-0.03,-0.04,-0.16,-0.01,-0.01,-0.01,-0.27
Devin Benton,NTX,2021,CB,257,0,0,0,0.0,0.0,0.0,1,0,0.04,-0.04,0.04,0.0,0.0,141,81.6%,82.8%,-1.75,-1.24,23.28,4.66,3.6%,8,-0.02,-0.04,0.15,0.1,-0.19,-0.1,-0.09
Devin Boyce,OMA,2021,W,2192,34,14,4,2.17,2.41,1.83,39,8,4.25,3.75,6.41,1.18,1.2,993,72.2%,72.7%,-4.82,-0.49,18.75,2.25,8.8%,27,-0.11,-0.22,-0.01,0.89,-1.0,-0.23,-0.68
Dominick Hernandez,NTX,2021,ST,1689,28,13,3,3.44,-0.4,-0.44,28,3,3.28,-0.28,6.71,0.97,1.46,619,70.3%,73.3%,-18.54,-2.99,19.5,5.18,7.2%,21,0.46,-0.39,0.13,0.89,-0.07,0.06,1.09
Don Smart,GVL,2021,W,1289,21,4,2,2.27,-0.42,-0.27,30,2,2.09,-0.09,4.36,1.68,1.76,446,73.1%,72.3%,3.54,0.79,23.39,1.36,5.3%,21,-0.31,-0.1,-0.21,-0.17,0.32,-0.11,-0.59
Drake Callender,FTL,2021,GK,1678,0,0,0,0.0,0.0,0.0,1,0,0.05,-0.05,0.05,0.0,0.0,718,81.2%,82.5%,-9.45,-1.32,31.64,21.26,8.0%,17,,,,,,,
Drew Hardin,FTL,2021,CM,639,9,1,1,1.51,-0.67,-0.51,5,1,0.64,0.36,2.15,0.88,1.17,154,80.5%,83.5%,-4.53,-2.94,20.72,2.36,2.5%,15,0.21,-0.02,-0.07,-0.43,0.32,0.05,0.07
Drew Kerr,NC,2021,CM,10,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,75.0%,61.5%,0.54,13.53,11.78,8.32,0.7%,1,0.0,-0.0,0.02,0.01,-0.0,-0.0,0.03
Dylan Castanheira,FTL,2021,GK,205,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,117,83.8%,83.0%,0.91,0.78,30.25,20.1,12.2%,2,,,,,,,
Earl Edwards Jr.,NER,2021,GK,387,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,102,83.3%,75.3%,8.15,7.99,34.44,27.67,4.0%,4,,,,,,,
Edison Azcona,FTL,2021,W,882,17,6,3,1.31,0.51,1.69,11,1,0.72,0.28,2.03,1.67,0.72,372,76.9%,81.7%,-18.0,-4.84,19.45,1.83,7.5%,12,0.13,-0.06,-0.19,0.18,-0.08,0.02,0.02
Edward Kizza,NER,2021,ST,1075,32,18,5,5.2,1.18,-0.2,8,0,0.4,-0.4,5.6,2.63,3.2,225,76.9%,81.5%,-10.25,-4.56,15.78,-4.88,4.6%,12,-0.47,-0.21,-0.05,-0.6,0.61,0.19,-0.53
Edwin Cerrillo,NTX,2021,DM,98,0,0,0,0.0,0.0,0.0,3,2,0.22,1.78,0.22,0.0,0.0,61,90.2%,85.3%,2.95,4.83,20.39,3.16,12.7%,1,-0.0,0.02,0.06,-0.03,0.01,-0.02,0.04
Edwin Munjoma,NTX,2021,FB,788,15,6,3,1.33,0.52,1.67,7,1,0.83,0.17,2.15,1.18,0.68,388,79.1%,78.5%,2.31,0.6,19.74,4.34,10.6%,8,-0.0,-0.0,0.12,-0.21,0.24,0.09,0.24
Elma N'For,OMA,2021,ST,485,10,2,0,1.16,-0.88,-1.16,6,0,0.35,-0.35,1.51,0.0,1.09,146,74.0%,73.3%,0.96,0.66,16.42,-3.58,2.6%,15,-0.24,-0.0,-0.12,0.0,0.48,-0.04,0.08
Emiliano Terzaghi,RIC,2021,ST,2498,85,40,18,15.62,1.98,2.38,16,2,1.17,0.83,16.79,9.52,9.82,435,68.3%,75.0%,-29.08,-6.69,18.54,3.94,5.9%,27,-1.57,0.45,-0.12,-0.13,0.97,1.06,0.68
Emir Alihodzic,OMA,2021,CM,1365,16,3,2,1.2,-0.14,0.8,13,2,1.52,0.48,2.72,0.7,0.82,610,77.0%,77.8%,-4.7,-0.77,23.62,4.63,5.2%,27,-0.19,-0.03,0.44,0.3,-0.34,-0.17,0.01
Enric Bernat,TOR,2021,CM,574,3,0,0,0.11,-0.11,-0.11,3,1,0.35,0.65,0.46,0.0,0.07,308,85.4%,87.2%,-5.45,-1.77,22.15,2.72,6.8%,9,-0.07,-0.03,-0.38,-0.02,-0.2,-0.14,-0.84
Eric Leonard,MAD,2021,CB,1874,10,2,0,0.36,-0.23,-0.36,8,1,0.39,0.61,0.75,0.0,0.21,1081,79.8%,78.2%,17.34,1.6,22.91,9.68,9.2%,23,0.05,-0.42,-0.28,0.28,-0.27,-0.02,-0.67
Erickson Gallardo,TOR,2021,W,91,3,1,0,0.62,-0.59,-0.62,2,1,0.7,0.3,1.32,0.0,0.04,30,73.3%,63.9%,2.84,9.47,19.58,1.34,2.0%,3,0.01,-0.01,-0.01,0.08,0.44,-0.0,0.51
Esmir Bajraktarevic,NER,2021,W,509,8,3,1,0.67,0.05,0.33,3,0,0.17,-0.17,0.84,0.41,0.35,125,72.0%,74.9%,-3.58,-2.86,17.19,1.95,3.1%,11,0.04,-0.03,-0.08,-0.11,-0.29,-0.05,-0.52
Esteban Calvo,RIC,2021,FB,2106,2,0,0,0.02,-0.02,-0.02,2,0,0.05,-0.05,0.07,0.0,0.03,871,76.6%,77.6%,-9.33,-1.07,21.14,4.35,9.3%,23,-0.09,-0.19,0.23,-0.35,-0.45,-0.3,-1.14
Ethan Bryant,RIC,2021,CM,952,12,3,0,0.45,-0.22,-0.45,8,0,0.41,-0.41,0.86,0.0,0.41,289,70.2%,73.7%,-9.89,-3.42,21.85,4.07,6.9%,12,-0.15,-0.08,-0.07,0.11,-0.33,-0.09,-0.62
Ethan Hardin,FTL,2021,CB,1874,8,2,1,0.71,0.1,0.29,3,1,1.21,-0.21,1.91,1.37,0.51,1250,88.8%,88.8%,-0.5,-0.04,25.2,5.87,12.4%,19,-0.38,0.13,0.2,-0.02,0.01,-0.06,-0.12
Ethan Vanacore-Decker,OMA,2021,W,574,15,5,0,1.09,-0.46,-1.09,4,0,0.33,-0.33,1.42,0.0,0.75,154,78.6%,76.6%,3.06,1.98,17.68,0.83,4.3%,11,0.27,-0.01,-0.04,-0.1,-0.29,0.02,-0.16
Evan Conway,OMA,2021,ST,1196,35,20,10,5.69,1.0,4.31,12,1,0.58,0.42,6.27,4.57,3.43,259,61.8%,65.5%,-9.69,-3.74,15.47,0.35,5.1%,16,-0.14,0.44,-0.08,0.03,0.43,0.25,0.93
Evan Lee,GVL,2021,CB,1959,11,0,0,0.66,-0.66,-0.66,7,0,0.59,-0.59,1.25,0.0,0.64,850,83.7%,82.1%,13.36,1.57,24.14,9.33,8.5%,22,0.1,0.2,-0.4,0.14,-0.08,-0.03,-0.06
Felipe Valencia,FTL,2021,CM,67,1,0,0,0.03,-0.03,-0.03,0,0,0.0,0.0,0.03,0.0,0.03,15,53.3%,71.3%,-2.7,-17.97,14.84,2.82,0.7%,6,-0.01,-0.01,-0.03,-0.05,-0.03,0.0,-0.13
Ferrety Sousa,OMA,2021,FB,2399,14,2,1,0.4,-0.3,0.6,23,1,2.02,-1.02,2.42,0.54,0.31,1292,77.5%,74.6%,37.08,2.87,20.58,7.53,10.4%,27,-0.3,-0.26,-0.14,0.51,-0.37,-0.14,-0.71
Francisco Raggio,FTL,2021,CM,50,3,0,0,0.17,-0.17,-0.17,0,0,0.0,0.0,0.17,0.0,0.14,18,66.7%,68.9%,-0.4,-2.25,20.44,4.2,1.2%,4,0.05,-0.01,-0.02,0.02,-0.03,0.03,0.04
Franco Pérez,TUC,2021,ST,276,7,3,0,1.48,-0.37,-1.48,1,0,0.08,-0.08,1.55,0.0,0.93,52,71.2%,76.3%,-2.66,-5.11,15.24,-0.94,1.9%,9,-0.04,0.03,-0.04,-0.15,0.07,-0.09,-0.21
Francois Dulysse,NER,2021,CB,679,5,1,0,0.57,-0.4,-0.57,4,0,0.19,-0.19,0.76,0.0,0.13,381,87.7%,86.4%,4.85,1.27,22.31,8.28,6.5%,11,-0.17,-0.21,0.14,0.15,0.09,-0.02,-0.02
Frank Nodarse,FTL,2021,CB,313,5,0,0,0.27,-0.27,-0.27,0,0,0.0,0.0,0.27,0.0,0.24,212,91.5%,90.0%,3.15,1.49,24.38,6.26,7.3%,6,-0.02,0.01,0.22,0.06,0.05,-0.06,0.27
Freddy Vargas,NTX,2021,ST,328,7,3,1,0.63,-0.33,0.37,2,1,0.88,0.12,1.51,0.36,0.38,123,73.2%,76.7%,-4.35,-3.54,19.25,-0.73,8.0%,4,0.2,0.02,0.02,0.39,-0.2,-0.11,0.32
Gabriel de Morais,NTX,2021,ST,421,10,3,1,1.19,-0.2,-0.19,3,0,1.02,-1.02,2.21,0.03,0.41,82,59.8%,66.8%,-5.82,-7.09,15.88,2.73,2.4%,10,-0.31,0.16,-0.08,0.04,0.28,-0.06,0.03
Garrett McLaughlin,TOR,2021,ST,1738,49,22,8,10.89,-2.1,-2.89,12,1,1.2,-0.2,12.09,4.69,8.45,322,74.8%,77.5%,-8.43,-2.62,14.43,-2.81,3.6%,25,-0.1,0.11,0.75,-0.36,0.9,0.19,1.48
George Acosta,FTL,2021,CM,1703,47,11,4,2.33,0.4,1.67,40,7,3.35,3.65,5.68,0.98,1.33,974,80.0%,79.8%,1.33,0.14,22.72,6.02,9.5%,21,-0.0,-0.15,-0.74,1.32,-0.13,0.28,0.58
Gerard Lavergne,TUC,2021,DM,18,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,13,76.9%,83.3%,-0.83,-6.37,26.7,6.61,1.9%,1,0.01,0.0,-0.01,-0.01,-0.0,-0.0,-0.01
Gibran Rayo,NTX,2021,W,2098,47,19,6,5.99,0.5,0.01,24,2,2.36,-0.36,8.35,2.07,3.9,645,81.1%,81.3%,-1.31,-0.2,17.33,-0.66,6.5%,25,1.08,0.23,-0.29,-0.86,0.03,0.3,0.49
Giovanni Calixtro,TUC,2021,ST,1725,41,11,4,5.14,-0.6,-1.14,16,4,1.81,2.19,6.95,1.35,2.89,408,81.4%,79.6%,7.15,1.75,15.5,0.91,4.6%,25,-0.58,-0.07,-0.32,0.66,-0.05,0.12,-0.26
Grant Hampton,TRM,2021,DM,11,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7,71.4%,77.0%,-0.39,-5.53,13.17,-2.55,1.4%,1,0.01,0.01,-0.01,-0.03,0.0,-0.0,-0.02
Greg Hurst,OMA,2021,ST,2375,69,26,13,9.55,1.75,3.45,22,1,1.5,-0.5,11.04,4.54,5.23,373,70.0%,75.2%,-19.61,-5.26,17.38,-0.33,4.3%,28,-0.42,0.13,0.01,-0.51,0.75,0.3,0.26
Gustavo Fernandes,MAD,2021,CB,1394,4,2,0,0.25,0.02,-0.25,8,1,0.49,0.51,0.74,0.0,0.09,920,86.0%,84.3%,15.17,1.65,23.75,9.4,10.6%,15,0.22,0.09,-0.23,0.41,-0.1,-0.08,0.31
Harvey Neville,FTL,2021,CM,1994,9,2,0,0.87,-0.17,-0.87,18,1,2.13,-1.13,3.0,0.0,0.88,912,79.5%,80.7%,-10.54,-1.16,22.7,4.25,8.7%,21,-0.16,0.03,-0.67,0.08,-0.41,-0.25,-1.38
Hernán González,RIC,2021,ST,431,8,2,0,1.01,-0.55,-1.01,1,0,0.12,-0.12,1.13,0.0,0.56,124,66.9%,69.6%,-3.26,-2.63,14.46,-1.78,1.9%,19,0.15,-0.07,0.02,-0.18,0.06,-0.09,-0.12
Hikaru Fujiwara,NER,2021,CM,705,12,4,0,1.98,-1.15,-1.98,16,3,2.48,0.52,4.46,0.0,0.45,294,77.2%,76.3%,2.8,0.95,17.81,1.29,3.0%,21,-0.14,0.02,-0.03,0.47,0.35,0.09,0.77
Hope Avayevu,NTX,2021,W,471,8,2,0,0.78,-0.4,-0.78,8,2,0.95,1.05,1.73,0.0,0.4,181,63.0%,69.7%,-12.08,-6.67,20.15,4.11,2.5%,18,0.13,0.05,0.02,-0.2,0.3,-0.03,0.27
Hugo Mbongue,TOR,2021,ST,148,4,0,0,0.74,-0.74,-0.74,1,0,0.14,-0.14,0.88,0.0,1.01,27,81.5%,75.0%,1.74,6.46,16.28,-3.77,1.0%,10,0.1,-0.03,-0.02,0.17,0.23,-0.07,0.38
Ian Antley,RIC,2021,FB,28,0,0,0,0.0,0.0,0.0,1,0,0.04,-0.04,0.04,0.0,0.0,15,93.3%,80.6%,1.91,12.74,21.33,8.05,4.1%,1,-0.02,0.0,0.01,0.04,-0.01,-0.0,0.02
Ivan Magalhaes,RIC,2021,CB,2577,15,6,1,1.01,1.59,-0.01,3,1,0.42,0.58,1.42,0.1,0.67,1218,79.1%,79.1%,0.21,0.02,25.58,11.68,11.8%,26,-0.12,0.19,0.21,-0.17,-0.17,0.12,0.06
Jackson Dietrich,CHA,2021,W,768,19,4,2,1.72,0.24,0.28,6,1,0.77,0.23,2.49,1.98,1.17,181,68.5%,72.6%,-7.35,-4.06,17.2,-2.21,2.7%,20,-0.18,0.07,-0.19,-0.17,0.57,0.29,0.39
Jacob Goodall,GVL,2021,FB,610,5,1,0,0.25,0.16,-0.25,7,0,0.77,-0.77,1.02,0.0,0.05,221,69.2%,66.0%,7.07,3.2,23.4,8.85,3.4%,17,-0.28,-0.07,0.66,0.22,-0.31,-0.09,0.13
Jacob Shaffelburg,TOR,2021,W,88,1,0,0,0.05,-0.05,-0.05,0,0,0.0,0.0,0.05,0.0,0.02,32,62.5%,59.8%,0.86,2.7,14.37,2.53,5.9%,1,0.04,0.01,-0.02,-0.06,0.1,-0.02,0.04
Jahkeele Marshall-Rutty,TOR,2021,W,525,3,1,1,0.21,0.19,0.79,7,1,0.51,0.49,0.72,0.64,0.15,205,88.8%,83.9%,9.98,4.87,15.96,-2.44,5.9%,7,-0.22,0.2,-0.01,0.1,-0.29,-0.13,-0.35
Jaime Ponce,OMA,2021,CB,68,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,10,60.0%,76.9%,-1.69,-16.86,22.27,1.06,3.5%,1,-0.01,-0.0,-0.22,-0.05,-0.01,-0.01,-0.29
Jake Crull,OMA,2021,CB,1731,5,1,0,0.14,-0.12,-0.14,2,0,0.28,-0.28,0.42,0.0,0.06,754,80.8%,79.1%,12.82,1.7,23.48,10.26,7.6%,21,-0.11,0.12,-0.25,0.12,-0.43,-0.19,-0.74
Jake Keegan,MAD,2021,ST,2125,64,24,6,6.21,-0.2,-0.21,15,3,1.41,1.59,7.62,3.67,3.95,433,71.1%,73.5%,-10.06,-2.32,16.72,-0.09,4.4%,23,0.26,-0.29,-0.46,-0.28,-0.46,0.3,-0.92
Jake McGuire,NC,2021,GK,2078,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,900,79.2%,78.0%,11.32,1.26,32.22,22.74,7.7%,21,,,,,,,
Jake Rozhansky,NER,2021,DM,2088,7,2,0,0.31,-0.11,-0.31,37,6,3.36,2.64,3.67,0.0,0.21,1403,90.0%,86.6%,47.12,3.36,19.83,3.22,10.7%,23,0.53,-0.05,0.31,0.57,-0.43,-0.32,0.61
Jalen Crisler,RIC,2021,CB,2564,16,5,0,1.13,-0.49,-1.13,3,0,0.11,-0.11,1.24,0.0,1.04,1175,78.5%,78.3%,3.43,0.29,27.48,12.91,10.4%,27,-0.2,-0.02,0.48,-0.56,0.2,0.1,0.0
Jared Odenbeck,TUC,2021,DM,342,1,1,0,0.07,0.37,-0.07,1,0,0.02,-0.02,0.09,0.0,0.05,182,89.0%,86.8%,4.05,2.23,21.43,3.15,4.8%,7,-0.01,0.01,0.06,0.01,0.01,-0.03,0.04
Jason Bucknor,FTL,2021,FB,103,1,0,0,0.09,-0.09,-0.09,1,0,0.03,-0.03,0.12,0.0,0.08,37,83.8%,81.0%,1.03,2.79,18.57,-3.0,3.0%,3,0.03,-0.0,-0.04,-0.03,0.02,0.03,0.0
Jason Ramos,CHA,2021,CB,2694,24,8,1,2.1,-0.12,-1.1,15,1,0.99,0.01,3.09,0.14,1.31,1547,82.9%,82.0%,14.92,0.96,27.59,9.4,11.9%,27,0.26,0.16,0.15,0.31,0.42,0.16,1.45
Javier Casas,MAD,2021,CM,64,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,81.8%,82.8%,-0.21,-0.95,20.19,0.05,3.9%,1,-0.01,-0.0,-0.01,-0.07,-0.0,-0.02,-0.12
Jay Tee Kamara,NC,2021,CM,1515,32,17,4,1.75,2.33,2.25,33,5,5.5,-0.5,7.25,1.83,0.99,490,68.6%,72.5%,-19.1,-3.9,22.37,7.39,6.0%,21,0.94,0.06,-0.18,2.13,-0.65,0.18,2.49
Jayden Nelson,TOR,2021,W,743,16,5,3,2.46,0.39,0.54,8,0,0.29,-0.29,2.76,1.83,1.82,302,84.1%,81.7%,7.27,2.41,17.85,-1.64,8.2%,8,0.23,-0.04,0.8,-0.2,-0.11,0.06,0.73
Jesús Ibarra,GVL,2021,W,1100,14,4,1,1.22,0.01,-0.22,24,1,2.87,-1.87,4.09,0.69,0.92,341,69.2%,66.8%,8.37,2.46,17.52,3.11,4.9%,21,0.88,0.06,0.12,0.52,-0.27,-0.17,1.15
Jesús Pérez,MAD,2021,CM,665,9,4,0,0.43,0.46,-0.43,11,1,0.92,0.08,1.35,0.0,0.39,267,82.8%,82.5%,0.63,0.24,20.18,1.46,6.3%,10,-0.15,-0.01,0.25,0.09,-0.04,0.02,0.17
Jimmie Villalobos,CHA,2021,CM,2003,30,9,2,3.27,-1.06,-1.27,17,1,1.83,-0.83,5.1,0.68,1.86,651,82.5%,80.6%,12.01,1.84,22.02,5.04,5.9%,25,0.28,-0.19,0.36,0.08,0.23,-0.1,0.65
Jiro Barriga Toyama,MAD,2021,FB,1610,7,2,0,0.18,-0.01,-0.18,20,1,1.18,-0.18,1.36,0.0,0.16,893,78.5%,77.2%,11.34,1.27,19.16,5.0,10.2%,17,0.2,0.24,0.26,0.16,-0.07,-0.07,0.72
Joao Delgado,TUC,2021,CM,1383,15,5,2,1.38,0.38,0.62,14,3,0.58,2.42,1.96,0.8,0.65,658,75.5%,78.1%,-16.63,-2.53,22.24,6.8,6.8%,22,-0.3,-0.06,0.35,0.38,-0.11,-0.19,0.07
