Player,Team,Season,Position,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,PA,xPA,Passes,Pass %,xPass %,Score,Per100,Distance,Vertical,Touch %,Games,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Nelson Blanco,NC,2021,FB,2482,12,1,0,0.49,-0.46,-0.49,15,3,1.55,1.45,2.04,0.0,0.23,1428,78.8%,79.6%,-11.66,-0.82,21.13,3.14,10.5%,27,0.23,0.06,-0.02,-0.12,-0.48,-0.31,-0.63
Nelson Martinez,NC,2021,FB,2321,13,5,1,0.64,0.07,0.36,7,0,0.3,-0.3,0.94,0.66,0.44,1148,83.6%,82.6%,11.9,1.04,19.95,2.76,8.4%,27,-0.16,-0.18,-0.03,-0.62,-0.27,-0.14,-1.41
Nicholas Holliday,NC,2021,GK,498,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,177,67.8%,66.8%,1.8,1.02,34.36,26.64,7.6%,5,,,,,,,
Nicholas O'Callaghan,TRM,2021,FB,2001,5,2,1,0.64,0.49,0.36,10,0,0.75,-0.75,1.39,0.39,0.35,1125,78.5%,77.0%,17.02,1.51,21.68,8.79,10.4%,23,0.06,-0.01,-1.02,0.09,0.15,-0.1,-0.82
Nico Brown,GVL,2021,W,165,5,3,1,0.79,0.19,0.21,1,0,0.06,-0.06,0.84,1.27,0.46,41,65.8%,76.2%,-4.25,-10.36,13.68,-3.09,1.9%,7,-0.04,-0.0,0.0,-0.04,0.04,0.07,0.03
Nicolas Firmino,OMA,2021,CM,864,15,4,2,1.85,-0.45,0.15,5,0,0.59,-0.59,2.43,3.05,1.95,417,83.2%,82.8%,1.56,0.37,15.73,1.43,4.1%,24,-0.22,-0.08,-0.04,-0.25,-0.28,-0.06,-0.93
Nicolas Ovalle,TOR,2021,CM,42,0,0,0,0.0,0.0,0.0,1,0,0.19,-0.19,0.19,0.0,0.0,21,90.5%,82.9%,1.59,7.55,18.46,1.73,1.3%,3,-0.0,0.0,0.07,0.04,-0.0,-0.01,0.09
Niki Jackson,TRM,2021,ST,287,4,0,0,0.78,-0.78,-0.78,0,0,0.0,0.0,0.78,0.0,0.1,47,76.6%,80.8%,-1.97,-4.2,15.22,-2.36,2.0%,8,-0.03,-0.03,-0.08,-0.13,0.12,-0.12,-0.27
Nil Vinyals,RIC,2021,CM,2183,24,11,2,2.01,1.07,-0.01,49,4,5.0,-1.0,7.02,2.14,1.51,812,70.0%,71.7%,-14.14,-1.74,20.83,4.11,8.3%,26,-0.25,0.14,0.2,1.04,-0.32,-0.11,0.71
Nkosi Burgess,NTX,2021,CB,186,2,1,1,0.26,0.36,0.74,1,0,0.18,-0.18,0.44,0.06,0.06,94,85.1%,82.2%,2.72,2.9,25.27,9.68,9.9%,2,-0.03,0.02,-0.19,-0.01,0.07,0.03,-0.1
Noah Allen,FTL,2021,FB,2660,10,2,0,0.34,-0.06,-0.34,28,2,2.06,-0.06,2.4,0.0,0.24,1342,76.8%,76.0%,11.61,0.86,20.19,2.88,10.2%,27,-0.69,0.09,0.44,-0.23,-0.3,-0.17,-0.88
Noah Franke,TUC,2021,FB,2424,9,2,0,0.21,-0.15,-0.21,19,3,1.91,1.09,2.12,0.0,0.15,1269,81.3%,78.0%,41.37,3.26,18.88,6.32,10.9%,25,0.34,-0.25,-0.47,0.37,-0.29,-0.26,-0.55
Noah Fuson,MAD,2021,W,911,21,6,2,1.1,-0.11,0.9,7,0,0.44,-0.44,1.54,1.46,0.65,243,73.3%,75.7%,-6.03,-2.48,17.31,0.07,2.8%,21,-0.18,-0.32,-0.36,-0.49,-0.13,-0.01,-1.49
Noah Pilato,GVL,2021,CM,324,5,1,0,0.12,-0.09,-0.12,1,0,0.03,-0.03,0.15,0.0,0.07,168,80.4%,81.1%,-1.21,-0.72,23.0,3.3,7.1%,5,0.13,-0.02,0.07,-0.13,-0.05,-0.06,-0.07
Noble Okello,TOR,2021,CM,269,3,2,1,0.82,0.05,0.18,1,0,0.08,-0.08,0.9,0.46,0.39,135,83.0%,82.2%,1.05,0.78,19.01,2.37,8.5%,3,-0.14,-0.01,0.01,0.23,0.06,-0.06,0.09
Noel Buck,NER,2021,CM,2059,35,12,5,3.88,0.34,1.11,26,1,2.1,-1.1,5.98,2.73,2.25,879,80.4%,80.0%,4.24,0.48,18.76,3.07,6.1%,28,-0.39,-0.13,-0.22,-0.42,0.42,0.23,-0.5
Nyal Higgins,TOR,2021,CB,576,3,0,0,0.59,-0.59,-0.59,3,0,0.11,-0.11,0.7,0.0,0.65,314,84.4%,84.1%,0.93,0.29,24.23,10.1,6.7%,9,0.36,0.04,0.08,0.07,-0.09,-0.0,0.46
Oalex Anderson,RIC,2021,W,866,32,9,3,4.25,-1.95,-1.25,7,2,1.1,0.9,5.35,2.36,4.5,119,55.5%,60.2%,-5.66,-4.76,17.45,2.1,2.5%,24,-0.01,0.29,-0.05,-0.06,1.05,0.19,1.4
Pablo Jara,TRM,2021,GK,2572,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,946,69.1%,67.2%,17.86,1.89,41.88,33.46,6.7%,27,,,,,,,
Parker O'Ferral,NC,2021,FB,530,0,0,0,0.0,0.0,0.0,2,0,0.12,-0.12,0.12,0.0,0.0,275,74.2%,80.9%,-18.58,-6.76,20.57,2.48,7.3%,8,-0.03,-0.01,0.16,-0.1,-0.17,-0.09,-0.25
Patrick Cayelli,GVL,2021,FB,5,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0%,15.7%,-0.16,-15.73,0.0,0.0,0.2%,1,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
Paul Christensen,GVL,2021,GK,986,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,329,65.0%,61.1%,13.13,3.99,46.13,37.39,6.8%,10,,,,,,,
Paul Rothrock,TOR,2021,ST,708,15,9,4,2.58,1.32,1.42,5,2,0.31,1.69,2.89,1.19,1.06,181,68.5%,73.8%,-9.62,-5.31,18.42,0.81,4.3%,12,-0.06,0.04,-0.12,-0.36,0.19,0.13,-0.19
Pecka,NC,2021,DM,1308,9,2,1,0.41,0.35,0.59,3,0,0.11,-0.11,0.52,0.66,0.38,619,88.8%,88.2%,3.98,0.64,19.6,1.67,6.5%,19,-0.18,0.01,0.13,-0.13,-0.19,-0.05,-0.42
Peter Pearson,NC,2021,DM,1706,5,3,2,0.39,0.75,1.61,2,0,0.07,-0.07,0.46,0.68,0.18,816,84.6%,86.5%,-15.56,-1.91,21.1,3.62,7.1%,24,-0.21,-0.14,0.35,-0.18,-0.23,-0.21,-0.63
Phil Breno,MAD,2021,GK,2659,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,823,83.0%,80.6%,19.92,2.42,29.74,21.37,5.5%,27,,,,,,,
Pierre Cayet,NER,2021,CB,1808,7,4,2,0.63,0.6,1.37,5,0,0.27,-0.27,0.9,1.47,0.35,1230,83.9%,82.6%,15.66,1.27,23.83,11.35,11.3%,20,0.22,0.14,0.49,1.04,-0.14,0.04,1.79
Rafael Mentzingen,CHA,2021,ST,784,19,8,1,2.93,-0.83,-1.93,8,0,0.73,-0.73,3.66,0.21,2.08,159,61.0%,68.2%,-11.36,-7.15,16.74,-0.84,3.6%,15,-0.3,-0.02,-0.18,-0.06,0.93,0.06,0.42
Raheem Sommersall,TRM,2021,CM,1254,9,4,0,0.75,0.32,-0.75,4,0,0.21,-0.21,0.96,0.0,0.57,563,84.7%,86.6%,-10.45,-1.86,19.16,1.71,6.1%,20,0.16,0.01,0.01,-0.46,-0.2,-0.1,-0.57
Ralph Priso-Mbongue,TOR,2021,CM,296,1,0,0,0.03,-0.03,-0.03,4,0,0.31,-0.31,0.34,0.0,0.02,196,84.7%,86.0%,-2.62,-1.34,19.86,6.03,11.7%,3,0.06,-0.05,0.02,0.02,-0.06,-0.04,-0.06
Rashid Nuhu,OMA,2021,GK,2360,0,0,0,0.0,0.0,0.0,2,1,0.2,0.8,0.2,0.0,0.0,764,57.2%,54.7%,19.42,2.54,51.02,45.08,6.3%,24,,,,,,,
Rey Ortiz,CHA,2021,W,847,24,6,1,0.94,0.84,0.06,17,2,2.49,-0.49,3.43,0.92,0.69,274,60.6%,62.3%,-4.69,-1.71,21.92,4.12,4.4%,16,-0.35,0.29,-0.18,0.42,-0.16,0.17,0.19
Ricardo Gomez,TRM,2021,CM,1575,5,0,0,0.17,-0.17,-0.17,13,0,1.23,-1.23,1.4,0.0,0.11,909,86.6%,85.2%,12.57,1.38,21.44,5.02,7.2%,24,0.11,-0.07,0.06,0.65,-0.58,-0.4,-0.24
Ricardo Rivera,OMA,2021,ST,247,6,4,1,1.43,-0.27,-0.43,3,0,0.2,-0.2,1.62,0.0,1.33,55,61.8%,69.0%,-3.96,-7.2,16.29,1.96,2.1%,7,-0.17,-0.01,-0.11,-0.02,0.39,0.06,0.14
Richard Sánchez,NTX,2021,GK,1692,1,0,0,0.03,-0.03,-0.03,1,0,0.03,-0.03,0.06,0.0,0.05,589,80.0%,80.8%,-4.72,-0.8,31.34,21.17,6.6%,17,,,,,,,
Rickson van Hees,NTX,2021,ST,10,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8,62.5%,65.5%,-0.24,-2.99,29.34,20.73,1.6%,1,0.0,-0.0,-0.0,0.02,-0.02,-0.01,-0.01
Ricky Ruiz,CHA,2021,W,2727,28,14,4,3.01,1.49,0.99,57,10,6.16,3.84,9.17,2.15,2.67,980,66.7%,67.9%,-11.3,-1.15,22.33,5.64,8.0%,28,0.38,0.24,0.18,1.4,-0.91,-0.45,0.85
Rio Ramirez,NTX,2021,CB,905,3,0,0,0.22,-0.22,-0.22,2,0,0.1,-0.1,0.32,0.0,0.23,467,82.7%,81.0%,7.79,1.67,26.3,9.45,6.3%,15,-0.02,0.06,0.19,0.04,-0.08,-0.07,0.13
Robert Frame,NC,2021,W,1635,11,6,3,1.55,1.06,1.45,15,1,1.21,-0.21,2.76,1.62,1.07,356,76.1%,79.3%,-11.14,-3.13,14.7,-1.96,3.4%,26,0.36,0.24,-0.36,-0.2,-0.23,-0.32,-0.52
Robert Kristo,NC,2021,ST,1010,33,13,4,4.25,-0.65,-0.25,4,0,0.39,-0.39,4.64,1.62,2.25,254,70.9%,71.7%,-2.2,-0.87,16.98,2.17,4.0%,18,-0.15,-0.09,-0.02,0.43,0.21,0.01,0.39
Roberto Poplawski,FTL,2021,DM,1732,15,2,0,0.65,-0.41,-0.65,11,1,1.08,-0.08,1.73,0.0,0.46,981,87.0%,86.6%,3.7,0.38,21.31,4.91,9.0%,23,0.08,-0.39,0.29,0.28,-0.5,-0.12,-0.35
Rodney Michael,TRM,2021,W,990,20,9,1,2.1,0.15,-1.1,11,2,0.84,1.16,2.94,0.9,1.43,268,72.8%,75.2%,-6.6,-2.46,16.16,1.8,4.7%,16,0.13,-0.1,-0.08,-0.24,0.15,0.08,-0.07
Rohan Goulbourne,TOR,2021,W,1362,13,7,0,0.7,-0.36,-0.7,10,1,0.7,0.3,1.4,0.0,0.54,563,76.4%,79.0%,-14.78,-2.63,22.33,4.5,5.6%,22,0.05,0.25,0.06,0.26,-0.71,-0.25,-0.34
Rohit Thakur,NC,2021,W,18,1,0,0,0.06,-0.06,-0.06,0,0,0.0,0.0,0.06,0.0,0.0,5,80.0%,85.7%,-0.28,-5.66,14.06,9.39,0.9%,2,0.0,-0.0,-0.02,-0.01,-0.0,0.02,-0.02
Roman Torres,NTX,2021,ST,5,1,1,0,0.33,-0.13,-0.33,0,0,0.0,0.0,0.33,0.0,0.0,0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.5%,1,0.0,-0.0,-0.0,0.0,0.11,0.03,0.14
Romeo Beckham,FTL,2021,W,408,4,1,0,0.1,-0.09,-0.1,3,0,0.41,-0.41,0.51,0.0,0.09,114,50.0%,65.2%,-17.34,-15.21,21.52,4.07,4.4%,6,-0.23,-0.11,0.06,-0.04,-0.25,-0.15,-0.72
Ronaldo Lomeli,MAD,2021,FB,222,4,2,0,0.2,0.28,-0.2,4,0,0.16,-0.16,0.36,0.0,0.15,133,82.0%,81.2%,0.96,0.72,19.69,2.72,4.8%,5,0.06,0.02,0.01,0.03,-0.04,0.05,0.14
Ronaldo Pineda,CHA,2021,FB,1272,18,4,0,0.67,-0.06,-0.67,8,0,0.59,-0.59,1.26,0.0,0.51,598,74.9%,75.2%,-1.64,-0.27,21.79,5.08,5.4%,24,0.06,-0.13,-0.02,0.39,-0.44,-0.11,-0.26
Ryan Sierakowski,"MAD, NER",2021,ST,2031,41,11,6,5.18,-1.77,0.82,11,0,1.07,-1.07,6.25,4.28,4.2,483,71.4%,72.7%,-6.22,-1.29,15.71,-0.35,4.3%,27,-0.47,-0.28,-0.18,-0.41,-0.06,-0.06,-1.45
Ryan Spaulding,NER,2021,FB,2522,52,7,3,2.46,-0.74,0.54,26,1,2.45,-1.45,4.91,1.13,1.32,1566,80.1%,78.9%,18.53,1.18,17.84,3.08,11.3%,28,0.38,0.12,0.68,-0.15,0.26,0.72,2.01
Sami Guediri,FTL,2021,CM,76,2,0,0,0.06,-0.06,-0.06,2,0,0.12,-0.12,0.17,0.0,0.04,43,81.4%,79.1%,0.99,2.3,18.16,3.98,4.1%,2,0.05,0.0,-0.0,-0.04,0.08,0.02,0.11
Samuel Biek,TUC,2021,CB,413,4,0,0,0.43,-0.43,-0.43,1,0,0.06,-0.06,0.49,0.0,0.38,289,90.0%,88.0%,5.76,1.99,25.61,9.62,7.8%,7,0.01,-0.07,0.15,0.21,0.06,0.05,0.42
Sean O'Hearn,NER,2021,CB,1997,8,1,0,0.15,0.14,-0.15,12,1,0.87,0.13,1.02,0.0,0.09,1343,78.5%,77.9%,8.15,0.61,25.49,12.25,10.5%,24,0.12,0.08,0.88,0.98,-0.52,-0.18,1.36
Sebastian Capozucchi,CHA,2021,CB,1159,1,0,0,0.02,-0.02,-0.02,3,0,0.33,-0.33,0.34,0.0,0.01,509,84.5%,81.0%,17.62,3.46,20.59,5.8,7.1%,15,-0.02,-0.22,-0.62,0.04,-0.22,-0.14,-1.17
Sebastian Mora-Mora,CHA,2021,GK,900,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,260,79.2%,77.5%,4.38,1.69,29.15,19.96,5.7%,9,,,,,,,
Selmir Miscic,NC,2021,W,1548,36,16,4,6.14,-1.08,-2.14,17,3,0.85,2.15,6.99,2.0,3.51,433,73.2%,74.7%,-6.64,-1.53,18.59,-0.09,4.2%,25,0.03,0.42,-0.29,-0.38,0.57,0.13,0.49
Sergi Nus,TRM,2021,CB,1955,5,2,0,0.37,-0.1,-0.37,3,0,0.16,-0.16,0.53,0.0,0.21,992,85.3%,83.1%,21.54,2.17,24.27,8.93,8.4%,23,-0.07,0.17,-0.42,-0.36,-0.27,-0.13,-1.08
Shaan Hundal,FTL,2021,ST,2029,40,19,11,9.8,-0.89,1.2,20,3,2.67,0.33,12.47,5.95,6.44,341,71.3%,77.0%,-19.63,-5.76,15.14,-1.03,3.8%,27,-0.19,-0.08,-0.14,0.24,1.35,-0.01,1.18
Shak Adams,TUC,2021,W,1833,29,13,8,4.12,-0.03,3.88,24,2,2.61,-0.61,6.73,5.41,1.96,450,78.0%,78.4%,-1.75,-0.39,15.95,-1.71,4.6%,25,1.37,-0.11,0.08,-0.61,0.15,-0.05,0.84
Shermaine Martina,NC,2021,CB,717,1,1,0,0.05,0.12,-0.05,0,0,0.0,0.0,0.05,0.0,0.05,474,86.3%,84.5%,8.37,1.77,26.6,10.08,8.1%,11,-0.03,0.0,-0.1,-0.09,-0.17,-0.08,-0.45
Stanley Alves,RIC,2021,ST,561,12,5,0,0.72,0.29,-0.72,5,1,0.66,0.34,1.38,0.0,0.54,148,66.2%,70.4%,-6.21,-4.19,16.47,0.87,3.9%,12,-0.12,-0.06,0.0,-0.02,0.08,-0.02,-0.13
Stefan Mueller,TRM,2021,FB,1464,10,7,4,1.63,0.76,2.37,15,1,1.37,-0.37,2.99,2.54,1.32,572,76.4%,76.2%,0.92,0.16,19.63,0.78,6.4%,18,-0.28,0.07,-0.59,-0.68,0.49,0.15,-0.84
Steffen Yeates,TOR,2021,CM,1365,18,4,0,1.51,-0.8,-1.51,14,1,0.93,0.07,2.44,0.0,1.21,701,85.5%,85.8%,-2.3,-0.33,20.45,2.98,7.0%,20,0.45,-0.38,-0.06,0.21,-0.3,-0.11,-0.2
Themi Antonoglou,TOR,2021,W,912,12,6,3,1.74,0.35,1.26,19,1,1.93,-0.93,3.67,2.86,1.85,277,76.5%,75.2%,3.65,1.32,20.56,0.37,3.3%,19,0.41,-0.09,0.17,0.23,-0.24,0.03,0.51
Thibaut Jacquel,NTX,2021,ST,816,24,12,4,2.98,0.81,1.02,10,0,1.03,-1.03,4.01,4.54,2.34,240,74.2%,76.6%,-5.84,-2.43,16.08,-0.74,3.6%,15,-0.1,-0.35,0.39,-0.39,-0.13,0.08,-0.5
Thorn Simpson,NC,2021,ST,958,24,8,1,3.62,-2.0,-2.62,2,0,0.32,-0.32,3.94,0.65,2.42,166,70.5%,74.4%,-6.58,-3.96,14.91,-4.13,2.9%,20,-1.15,-0.13,-0.07,-0.48,0.95,0.03,-0.85
Tim Trilk,CHA,2021,GK,1908,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,660,84.5%,84.9%,-2.23,-0.34,28.65,17.78,6.7%,19,,,,,,,
Tobenna Uzo,TUC,2021,ST,817,27,8,2,2.18,-0.46,-0.18,10,0,0.92,-0.92,3.11,0.43,1.34,187,64.2%,70.7%,-12.19,-6.52,13.76,-1.42,5.1%,11,-0.29,0.23,-0.03,-0.36,1.07,-0.03,0.59
Tobias Otieno,OMA,2021,CM,1634,18,3,1,0.7,-0.25,0.3,12,3,1.56,1.44,2.26,0.21,0.36,802,77.1%,79.3%,-17.57,-2.19,20.96,5.23,8.3%,23,0.22,-0.19,0.37,0.16,-0.38,-0.13,0.05
Ty Johnson,RIC,2021,ST,18,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,33.3%,73.8%,-1.21,-40.47,6.97,3.1,1.6%,1,-0.01,0.01,-0.01,0.01,-0.02,-0.01,-0.03
Tyler Allen,MAD,2021,FB,1582,18,3,0,0.91,-0.42,-0.91,15,0,0.88,-0.88,1.79,0.0,0.96,611,73.8%,77.4%,-22.05,-3.61,17.51,-1.03,5.6%,25,-0.27,0.01,-0.21,-0.82,-0.01,-0.11,-1.42
Tyler Freitas,NER,2021,FB,477,1,0,0,0.01,-0.01,-0.01,2,0,0.18,-0.18,0.19,0.0,0.01,241,83.8%,85.4%,-3.86,-1.6,20.03,1.33,5.0%,9,-0.16,-0.0,0.06,-0.21,-0.07,-0.06,-0.44
Tyler Polak,GVL,2021,FB,2661,8,0,0,0.39,-0.39,-0.39,14,1,1.22,-0.22,1.61,0.0,0.29,1227,80.5%,78.0%,31.06,2.53,20.56,6.36,9.9%,28,-0.18,0.29,0.43,-0.28,-0.49,-0.26,-0.48
Ualefi,CHA,2021,DM,874,2,2,0,0.08,0.19,-0.08,3,0,0.1,-0.1,0.19,0.0,0.02,370,88.1%,86.1%,7.29,1.97,21.94,3.44,4.7%,16,-0.05,0.05,0.1,-0.03,-0.22,-0.13,-0.29
Venton Evans,FTL,2021,W,1569,35,15,4,2.97,0.37,1.03,8,2,1.35,0.65,4.33,1.19,1.4,410,77.6%,79.1%,-6.29,-1.53,17.7,-1.75,5.4%,21,-0.63,-0.42,0.19,-0.4,0.04,0.01,-1.22
Victor Falck,RIC,2021,CM,1689,13,4,0,0.71,-0.28,-0.71,8,1,0.27,0.73,0.98,0.0,0.64,662,76.9%,77.6%,-4.79,-0.72,22.96,6.96,7.4%,22,0.07,0.04,0.03,0.08,-0.25,-0.26,-0.28
Vincenzo Candela,TRM,2021,CM,912,13,5,0,0.56,-0.2,-0.56,5,1,0.44,0.56,1.0,0.0,0.47,376,86.2%,84.8%,5.12,1.36,20.45,2.85,4.2%,20,-0.1,0.0,0.51,-0.15,-0.32,-0.1,-0.17
Wallis Lapsley,TUC,2021,GK,2672,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,735,76.2%,74.5%,12.73,1.73,31.96,23.11,5.4%,27,,,,,,,
William Mejia,GVL,2021,W,44,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,11,72.7%,69.9%,0.31,2.83,23.51,15.23,0.8%,4,-0.02,-0.0,-0.03,0.0,-0.03,-0.02,-0.09
Yannik Oettl,NER,2021,GK,195,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,50,84.0%,79.6%,2.21,4.42,29.07,21.85,3.2%,3,,,,,,,
Yekeson Subah,NC,2021,ST,25,1,0,0,0.43,-0.43,-0.43,0,0,0.0,0.0,0.43,0.0,0.74,6,50.0%,48.8%,0.07,1.23,12.11,-8.68,0.9%,2,-0.02,0.01,-0.01,-0.01,0.24,0.0,0.21
Yoskar Galvan,OMA,2021,W,46,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,14,64.3%,72.8%,-1.19,-8.5,15.78,1.73,1.8%,2,-0.02,0.0,-0.0,-0.01,-0.04,-0.03,-0.09
Zacarías Morán Correa,RIC,2021,DM,2438,12,2,1,0.3,0.22,0.7,38,3,3.32,-0.32,3.62,1.54,0.25,1086,77.5%,76.3%,13.3,1.22,24.64,9.43,10.5%,25,0.1,-0.13,-0.02,0.91,-0.63,-0.28,-0.05
