Year,Competition,Player Name,Nat.,Age,Height(Unit:m),Birthdate,Club,Position,Position Detail,Appearances,Assists,Penalty Kicks,Minutes Played,Minutes Per Goals,Goals Per Match,Goals,League Level,Salary,Salary Date,Joined Date,Contract Until,Player Agent,Date of Last Contract Extension,Highest Market Value,Date of Highest Value,player_href
2021,USL1,Emiliano Terzaghi,Argentina,28 (29),1.7,1993-03-06,Richmond Kickers,CF,attack - Centre-Forward,27.0,2,4.0,2302.0,128,0.67,18,Third Tier,220000,,2020-01-24,2022-11-30,CMWSportsMngt,2020-12-01,385000,,https://www.transfermarkt.us/emiliano-terzaghi/profil/spieler/193779
2021,USL1,Marios Lomis,Netherlands-Greece,26 (27),1.88,1995-01-24,Greenville Triumph SC,CF,attack - Centre-Forward,26.0,1,2.0,1925.0,138,0.54,14,,220000,,2022-01-25,2022-06-30,Topnotch Management,,275000,,https://www.transfermarkt.us/marios-lomis/profil/spieler/323917
2021,USL1,Greg Hurst,Scotland,24 (25),1.85,1997-04-08,Union Omaha,CF,attack - Centre-Forward,28.0,2,1.0,2200.0,169,0.46,13,Second Tier,248000,,2022-01-17,2023-11-30,,,248000,,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
2021,USL1,Marco Micaletto,Italy-England,25 (26),1.78,1996-01-19,South Georgia Tormenta FC,AM,midfield - Attacking Midfield,28.0,3,5.0,2496.0,227,0.39,11,Third Tier,248000,,2022-02-25,2022-11-30,NOVERA Sports,,248000,,https://www.transfermarkt.us/marco-micaletto/profil/spieler/511763
2021,USL1,Shaan Hundal,Canada-India,22,1.8,1999-07-14,Fort Lauderdale CF,CF,attack - Centre-Forward,27.0,3,0.0,1870.0,187,0.37,10,Third Tier,193000,,2021-04-09,2022-11-30,"Jordie Isen, Football Agent",2022-02-24,193000,,https://www.transfermarkt.us/shaan-hundal/profil/spieler/436294
2021,USL1,Juan Galindrez,Colombia,27,1.82,1994-07-04,Chattanooga Red Wolves SC,CF,attack - Centre-Forward,27.0,1,0.0,1069.0,107,0.37,10,Third Tier,165000,,2021-02-23,2022-11-30,,2021-12-10,165000,,https://www.transfermarkt.us/juan-galindrez/profil/spieler/600903
2021,USL1,Evan Conway,United States,23 (24),1.84,1997-11-07,Union Omaha,CF,attack - Centre-Forward,16.0,1,0.0,1108.0,111,0.63,10,Second Tier,248000,,2022-01-06,2022-11-30,FSG USA,,248000,,https://www.transfermarkt.us/evan-conway/profil/spieler/737153
2021,USL1,Charlie Dennis,England,26,1.88,1995-09-28,FC Tucson,CM,midfield - Central Midfield,25.0,8,4.0,1807.0,201,0.36,9,Second Tier,248000,,2022-01-19,2022-11-30,STAG Management,,248000,,https://www.transfermarkt.us/charlie-dennis/profil/spieler/563079
2021,USL1,Mitchell Curry,England,22,1.78,1999-07-14,Fort Lauderdale CF,CF,attack - Centre-Forward,23.0,4,0.0,1838.0,230,0.35,8,Second Tier,165000,,2022-01-27,2022-11-30,Refuel Performance Management,,165000,,https://www.transfermarkt.us/mitchell-curry/profil/spieler/399451
2021,USL1,Garrett McLaughlin,United States,23 (24),1.83,1997-11-10,Toronto FC II,CF,attack - Centre-Forward,25.0,1,2.0,1575.0,197,0.32,8,Third Tier,138000,,2022-02-11,2022-11-30,PRO FC,,138000,,https://www.transfermarkt.us/garrett-mclaughlin/profil/spieler/636464
2021,USL1,Azaad Liadi,United States,23,1.85,1998-05-14,South Georgia Tormenta FC,W,attack - Left Winger,27.0,5,0.0,1943.0,278,0.26,7,Second Tier,193000,,2022-01-28,2022-11-30,ICM Stellar Sports,,193000,,https://www.transfermarkt.us/azaad-liadi/profil/spieler/744402
2021,USL1,Gibran Rayo,United States-Mexico,20,1.75,2001-10-14,North Texas SC,W,attack - Left Winger,26.0,2,0.0,2014.0,288,0.27,7,Third Tier,220000,,2022-03-15,2022-11-30,Relatives,,220000,,https://www.transfermarkt.us/gibran-rayo/profil/spieler/666795
2021,USL1,Shak Adams,United States,23,1.7,1998-09-07,FC Tucson,W,attack - Left Winger,26.0,2,0.0,1728.0,247,0.27,7,Second Tier,165000,,2022-01-20,2022-11-30,,,165000,,https://www.transfermarkt.us/shak-adams/profil/spieler/763520
2021,USL1,Deri Corfe,England,23 (24),1.83,1998-03-03,FC Tucson,W,midfield - Left Midfield,27.0,1,0.0,1819.0,260,0.26,7,Third Tier,110000,,2021-04-13,2022-11-30,,2021-12-02,110000,,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
2021,USL1,Damia Viader,Spain,23 (24),1.75,1998-02-19,Union Omaha,FB,Defender - Left-Back,28.0,5,1.0,2427.0,405,0.21,6,Second Tier,220000,,2022-03-02,2022-11-30,,,220000,,https://www.transfermarkt.us/damia-viader/profil/spieler/737151
2021,USL1,Jake Keegan,United States,30 (31),1.76,1991-04-21,Forward Madison FC,CF,attack - Centre-Forward,23.0,4,0.0,1951.0,325,0.26,6,Third Tier,193000,,2021-12-21,2022-11-30,no agent,,193000,,https://www.transfermarkt.us/jake-keegan/profil/spieler/310391
2021,USL1,Kazu,Brazil,21 (22),1.75,2000-03-18,North Texas SC,FB,Defender - Left-Back,26.0,2,0.0,1539.0,257,0.23,6,,165000,,2020-01-01,,Under,2021-01-29,165000,,https://www.transfermarkt.us/kazu/profil/spieler/428993
2021,USL1,Damián Rivera,United States-Guatemala,18 (19),1.78,2002-12-08,New England Revolution II,W,midfield - Left Midfield,25.0,1,1.0,2093.0,349,0.24,6,First Tier,220000,,2019-11-08,2022-12-31,,,220000,,https://www.transfermarkt.us/damian-rivera/profil/spieler/722649
2021,USL1,Ryan Sierakowski,United States-Poland,24,1.85,1997-08-07,for 2 clubs,W,attack - Right Winger,27.0,0,0.0,1852.0,309,0.22,6,,165000,,2021-12-01,,Nordic Sky,,193000,,https://www.transfermarkt.us/ryan-sierakowski/profil/spieler/509907
2021,USL1,Luca Mayr-Fälten,Austria-Sweden,25 (26),1.76,1996-04-06,South Georgia Tormenta FC,W,midfield - Right Midfield,26.0,5,0.0,2217.0,443,0.19,5,,165000,,2022-01-01,2022-06-30,,,165000,,https://www.transfermarkt.us/luca-mayr-falten/profil/spieler/202415
2021,USL1,Justin Rennicks,United States,22 (23),1.72,1999-03-20,New England Revolution II,CF,attack - Centre-Forward,27.0,3,0.0,2138.0,428,0.19,5,First Tier,193000,,2019-01-18,2022-12-31,Wasserman,2021-12-03,193000,,https://www.transfermarkt.us/justin-rennicks/profil/spieler/368907
2021,USL1,Aaron Walker,United States,31,1.8,1990-06-04,Greenville Triumph SC,CM,midfield - Central Midfield,25.0,3,1.0,2142.0,428,0.2,5,Third Tier,193000,,2019-02-05,2022-11-30,,2022-01-11,193000,,https://www.transfermarkt.us/aaron-walker/profil/spieler/373782
2021,USL1,Marky Hernandez,United States,25,1.65,1996-08-07,Chattanooga Red Wolves SC,W,attack - Left Winger,23.0,3,0.0,1099.0,220,0.22,5,Third Tier,110000,,2022-01-11,2022-11-30,,,110000,,https://www.transfermarkt.us/marky-hernandez/profil/spieler/657722
2021,USL1,Noel Buck,United States-England,16 (17),1.8,2005-04-05,New England Revolution II,CM,midfield - Central Midfield,28.0,1,0.0,1911.0,382,0.18,5,First Tier,220000,,2022-01-18,2025-12-31,Agent is known - Player under 18,,220000,,https://www.transfermarkt.us/noel-buck/profil/spieler/882657
2021,USL1,Jonathan Bolanos,United States,23,1.78,1998-05-20,Richmond Kickers,AM,midfield - Attacking Midfield,28.0,1,0.0,2003.0,401,0.18,5,Third Tier,165000,,2020-01-27,2022-11-30,Ascension Athletes,2022-02-02,165000,,https://www.transfermarkt.us/jonathan-bolanos/profil/spieler/637080
2021,USL1,Derek Gebhard,United States,26,1.83,1995-10-15,Forward Madison FC,CF,attack - Centre-Forward,27.0,1,0.0,2227.0,445,0.19,5,Third Tier,138000,,2021-02-11,2022-11-30,Topnotch Management,2021-12-10,165000,,https://www.transfermarkt.us/derek-gebhard/profil/spieler/401304
2021,USL1,Bernard Kamungo,Tanzania,19 (20),1.75,2002-01-01,North Texas SC,W,attack - Right Winger,22.0,0,0.0,1072.0,214,0.23,5,Third Tier,165000,,2021-03-25,2022-11-30,D2PSports,,165000,,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
2021,USL1,Edward Kizza,Uganda,22 (23),1.75,1998-12-17,New England Revolution II,CF,attack - Centre-Forward,12.0,0,0.0,1006.0,201,0.42,5,Second Tier,220000,,2022-03-30,2022-11-30,ICM Stellar Sports,,220000,,https://www.transfermarkt.us/edward-kizza/profil/spieler/857412
2021,USL1,Ricky Ruiz,United States,24 (25),1.68,1996-11-04,Chattanooga Red Wolves SC,W,midfield - Right Midfield,28.0,9,0.0,2454.0,614,0.14,4,Second Tier,165000,,2022-02-23,2022-11-30,FSG USA,,165000,,https://www.transfermarkt.us/ricky-ruiz/profil/spieler/758827
2021,USL1,Devin Boyce,United States,25,1.78,1996-09-08,Union Omaha,W,midfield - Right Midfield,27.0,8,0.0,2038.0,510,0.15,4,Second Tier,193000,,2022-01-20,2022-11-30,Path2Pro,,193000,,https://www.transfermarkt.us/devin-boyce/profil/spieler/795794
2021,USL1,Jay Tee Kamara,Sierra Leone,19,1.61,2002-05-10,North Carolina FC,AM,midfield - Attacking Midfield,21.0,5,0.0,1382.0,346,0.19,4,Third Tier,165000,,2022-02-18,2022-11-30,,,165000,,https://www.transfermarkt.us/jay-tee-kamara/profil/spieler/858901
2021,USL1,Kalil ElMedkhar,United States-Syria,22,1.88,1999-08-18,North Texas SC,W,attack - Left Winger,13.0,5,0.0,1039.0,260,0.31,4,First Tier,165000,,2021-01-14,2022-12-31,,,165000,,https://www.transfermarkt.us/kalil-elmedkhar/profil/spieler/637479
2021,USL1,Jonathan Ricketts,United States,23 (24),1.85,1997-11-20,Chattanooga Red Wolves SC,FB,Defender - Right-Back,27.0,4,0.0,2401.0,600,0.15,4,Second Tier,193000,,2022-02-23,2022-11-30,FSG USA,,193000,,https://www.transfermarkt.us/jonathan-ricketts/profil/spieler/735328
2021,USL1,Giovanni Calixtro,United States,21,1.8,2000-06-27,FC Tucson,CF,attack - Centre-Forward,26.0,4,0.0,1630.0,408,0.15,4,Third Tier,165000,,2021-03-10,2022-11-30,,2021-12-02,165000,,https://www.transfermarkt.us/giovanni-calixtro/profil/spieler/513282
2021,USL1,Aaron Molloy,Ireland,24 (25),1.78,1997-01-11,Forward Madison FC,CF,midfield,27.0,3,1.0,2392.0,598,0.15,4,Second Tier,220000,,2022-01-11,2022-11-30,Topnotch Management,,220000,,https://www.transfermarkt.us/aaron-molloy/profil/spieler/428901
2021,USL1,Selmir Miscic,United States-Bosnia-Herzegovina,18 (19),1.7,2003-01-23,North Carolina FC,AM,midfield - Attacking Midfield,25.0,3,1.0,1411.0,353,0.16,4,Third Tier,138000,,2022-03-28,2022-12-31,PROSPORT Management,,138000,,https://www.transfermarkt.us/selmir-miscic/profil/spieler/628251
2021,USL1,Venton Evans,Jamaica,23,,1998-06-19,Fort Lauderdale CF,W,attack - Right Winger,21.0,2,0.0,1444.0,361,0.19,4,Third Tier,110000,,2021-12-23,2022-11-30,,,110000,,https://www.transfermarkt.us/venton-evans/profil/spieler/602239
2021,USL1,Paul Rothrock,United States,22 (23),1.73,1999-01-09,Toronto FC II,CF,attack - Centre-Forward,12.0,2,0.0,638.0,160,0.33,4,Third Tier,110000,,2021-05-18,2022-11-30,,,110000,,https://www.transfermarkt.us/paul-rothrock/profil/spieler/503092
2021,USL1,Stefan Mueller,United States,26,1.85,1995-10-13,South Georgia Tormenta FC,FB,Defender - Left-Back,18.0,1,0.0,1338.0,335,0.22,4,Second Tier,165000,,2022-03-08,2022-11-30,Dierolf Rechtsanwälte AG,,165000,,https://www.transfermarkt.us/stefan-mueller/profil/spieler/505700
2021,USL1,Robert Kristo,United States-Croatia,28,1.95,1993-05-14,North Carolina FC,CF,attack - Centre-Forward,18.0,0,2.0,897.0,224,0.22,4,,138000,,2021-10-31,2024-06-30,PROSPORT Management,,138000,,https://www.transfermarkt.us/robert-kristo/profil/spieler/354895
2021,USL1,Thibaut Jacquel,France,24 (25),1.85,1997-03-23,North Texas SC,CF,attack - Centre-Forward,15.0,0,1.0,739.0,185,0.27,4,,83000,,2022-01-08,2023-06-30,,,83000,,https://www.transfermarkt.us/thibaut-jacquel/profil/spieler/635970
2021,USL1,Josiah Trimmingham,Trinidad and Tobago,24 (25),1.88,1996-12-14,Forward Madison FC,CB,Defender - Centre-Back,11.0,0,0.0,504.0,126,0.36,4,,138000,,2022-01-01,,Futbol Marketing Group,,138000,,https://www.transfermarkt.us/josiah-trimmingham/profil/spieler/482812
2021,USL1,George Acosta,United States-Colombia,21 (22),1.7,2000-01-19,Fort Lauderdale CF,AM,midfield - Attacking Midfield,21.0,6,0.0,1567.0,522,0.14,3,First Tier,220000,,2020-01-01,2022-12-31,YMU Group,2022-01-13,220000,,https://www.transfermarkt.us/george-acosta/profil/spieler/370975
2021,USL1,Josh Coan,United States,23 (24),1.75,1998-02-21,North Carolina FC,W,attack - Left Winger,28.0,4,0.0,1607.0,536,0.11,3,Third Tier,138000,,2022-02-17,2022-11-30,Topnotch Management,,138000,,https://www.transfermarkt.us/josh-coan/profil/spieler/763523
2021,USL1,Nicky Hernandez,United States-Mexico,23,1.8,1998-09-21,North Texas SC,CM,midfield - Central Midfield,22.0,4,1.0,1627.0,542,0.14,3,Second Tier,165000,,2022-04-13,2022-11-30,PFC,,165000,,https://www.transfermarkt.us/nicky-hernandez/profil/spieler/636487
2021,USL1,Daniel Bedoya,Colombia,27 (28),1.68,1994-02-13,FC Tucson,AM,midfield - Attacking Midfield,27.0,3,1.0,1424.0,475,0.11,3,Third Tier,138000,,2021-03-02,2022-11-30,DV7 Management,2022-02-22,138000,,https://www.transfermarkt.us/daniel-bedoya/profil/spieler/369848
2021,USL1,Oalex Anderson,St. Vincent & Grenadinen,25 (26),1.73,1995-11-11,Richmond Kickers,CF,attack - Centre-Forward,24.0,3,0.0,704.0,235,0.13,3,Third Tier,138000,,2022-01-18,2022-11-30,"Jordie Isen, Football Agent",,193000,,https://www.transfermarkt.us/oalex-anderson/profil/spieler/313448
2021,USL1,Lachlan McLean,Australia,25 (26),1.83,1996-03-28,Greenville Triumph SC,CF,attack - Centre-Forward,14.0,2,0.0,842.0,281,0.21,3,Third Tier,165000,,2021-12-17,2022-11-30,First Team,,165000,,https://www.transfermarkt.us/lachlan-mclean/profil/spieler/751149
2021,USL1,Ryan Spaulding,United States-Italy,23,1.75,1998-09-10,New England Revolution II,FB,Defender - Left-Back,28.0,1,0.0,2331.0,777,0.11,3,First Tier,165000,,2022-02-18,2022-12-31,Agrinzonis Management Group,,165000,,https://www.transfermarkt.us/ryan-spaulding/profil/spieler/709179
2021,USL1,Antonio Carlini,Canada-Italy,20 (21),1.75,2001-02-23,Toronto FC II,CM,midfield - Central Midfield,27.0,1,0.0,1858.0,619,0.11,3,Third Tier,138000,,2020-07-02,2022-11-30,NOVERA Sports,2022-03-18,138000,,https://www.transfermarkt.us/antonio-carlini/profil/spieler/694523
2021,USL1,Cole Frame,United States,19,1.7,2002-10-05,North Carolina FC,W,attack - Right Winger,26.0,1,0.0,1466.0,489,0.12,3,Third Tier,110000,,2021-09-07,2022-11-30,,,110000,,https://www.transfermarkt.us/cole-frame/profil/spieler/876377
2021,USL1,Themi Antonoglou,Canada-Greece,20,1.78,2001-06-02,Toronto FC II,W,midfield - Left Midfield,19.0,1,0.0,843.0,281,0.16,3,Third Tier,83000,,2020-07-02,2022-11-30,OPSMPRO,2022-03-18,83000,,https://www.transfermarkt.us/themi-antonoglou/profil/spieler/680394
2021,USL1,Kevin Rodríguez,United States,25,1.73,1996-09-25,FC Tucson,W,midfield - Right Midfield,17.0,1,0.0,528.0,176,0.18,3,Third Tier,110000,,2021-02-10,2022-11-30,,2021-12-02,110000,,https://www.transfermarkt.us/kevin-rodriguez/profil/spieler/657902
2021,USL1,Eddie Munjoma,United States,23,1.78,1998-07-18,North Texas SC,FB,Defender - Right-Back,9.0,1,0.0,806.0,269,0.33,3,First Tier,440000,,2020-01-13,2022-12-31,Promoesport,,440000,,https://www.transfermarkt.us/eddie-munjoma/profil/spieler/636468
2021,USL1,Jayden Nelson,Canada-Jamaica,18 (19),1.7,2002-09-26,Toronto FC II,W,attack - Left Winger,8.0,1,0.0,686.0,229,0.38,3,First Tier,2.75m,,2020-01-23,2022-12-31,ATG Sports,,2.75m,,https://www.transfermarkt.us/jayden-nelson/profil/spieler/635445
2021,USL1,Jorge Almaguer,United States,21,1.72,2000-09-21,North Texas SC,CM,midfield - Central Midfield,24.0,0,0.0,1927.0,642,0.13,3,Second Tier,193000,,2022-02-04,2022-11-30,PFC,,193000,,https://www.transfermarkt.us/jorge-almaguer/profil/spieler/663311
2021,USL1,Edison Azcona,Dominican Republic-United States,17 (18),1.68,2003-11-21,Fort Lauderdale CF,W,attack - Left Winger,12.0,0,0.0,814.0,271,0.25,3,First Tier,110000,,2021-01-26,2022-12-31,,,110000,,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
2021,USL1,Kobe Franklin,Canada,18,1.68,2003-05-10,Toronto FC II,FB,Defender - Right-Back,24.0,6,0.0,2150.0,1075,0.08,2,Third Tier,165000,,2021-05-13,2022-11-30,,,165000,,https://www.transfermarkt.us/kobe-franklin/profil/spieler/718086
2021,USL1,Nil Vinyals,Spain,25,,1996-09-21,Richmond Kickers,CM,midfield - Defensive Midfield,26.0,4,1.0,2011.0,1006,0.08,2,Third Tier,193000,,2021-02-11,2022-11-30,Path2Pro,2022-01-04,193000,,https://www.transfermarkt.us/nil-vinyals/profil/spieler/585729
2021,USL1,Allen Gavilanes,United States,22,1.7,1999-08-24,Greenville Triumph SC,W,midfield - Left Midfield,24.0,3,0.0,1259.0,630,0.08,2,Third Tier,110000,,2021-04-20,2022-11-30,,2021-12-15,110000,,https://www.transfermarkt.us/allen-gavilanes/profil/spieler/886066
2021,USL1,João Delgado,Portugal,27,,1994-09-15,FC Tucson,AM,midfield - Attacking Midfield,23.0,3,0.0,1358.0,679,0.09,2,Third Tier,110000,,2021-02-17,2022-11-30,First Wave Sports,2021-12-02,110000,,https://www.transfermarkt.us/joao-delgado/profil/spieler/352948
2021,USL1,Justin Sukow,United States,23,1.78,1998-09-19,Forward Madison FC,CM,midfield - Central Midfield,22.0,3,0.0,1323.0,662,0.09,2,Third Tier,110000,,2021-04-22,2022-11-30,Path2Pro,2021-12-16,110000,,https://www.transfermarkt.us/justin-sukow/profil/spieler/886631
2021,USL1,Emir Alihodzic,United States-Bosnia-Herzegovina,28 (29),1.83,1993-02-09,Union Omaha,CM,midfield - Central Midfield,27.0,2,0.0,1242.0,621,0.07,2,Third Tier,138000,,2021-04-22,2022-11-30,ZUKA SOCCER,2022-04-05,165000,,https://www.transfermarkt.us/emir-alihodzic/profil/spieler/217448
2021,USL1,José Carrera,Mexico-Mexico,26,1.64,1995-07-20,Chattanooga Red Wolves SC,CM,midfield - Central Midfield,27.0,2,0.0,2420.0,1210,0.07,2,Third Tier,165000,,2020-12-01,2022-11-30,Path2Pro,2021-12-07,165000,,https://www.transfermarkt.us/jose-carrera/profil/spieler/378483
2021,USL1,Andrew Booth,Jamaica-United States,24,,1997-07-16,Greenville Triumph SC,W,midfield - Right Midfield,27.0,2,0.0,1964.0,982,0.07,2,Second Tier,110000,,2022-01-03,2022-11-30,Remington Ellis Management,,110000,,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
