,Position,Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
0,FB,J. Esparza,FB,2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,22.0,United States,"United States, Mexico",left,107000.0,,,,,,,,,,,,,,
1,FB,T. Polak,FB,,Greenville Triumph,Greenville Triumph,29.0,United States,United States,left,160500.0,,,,,,,,,,,,,,
2,FB,A. Knox,FB,,Tucson,Tucson,24.0,United States,United States,unknown,0.0,,,,,,,,,,,,,,
3,FB,N. Franke,FB,,Tucson,Tucson,26.0,United States,United States,right,160500.0,,,,,,,,,,,,,,
4,FB,C. Young,FB,,Fort Lauderdale,Fort Lauderdale,24.0,United States,United States,,107000.0,,,,,,,,,,,,,,
5,CB,A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
6,CB,A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
7,CB,A. Mabika,CB,,Inter Miami,Fort Lauderdale,23.0,United States,United States,,160500.0,165000,,165000,,2022-01-13,2023-12-31,2022-01-13,,Aimé Mabika,Zambia,23,Inter Miami CF II,Defender - Centre-Back,https://www.transfermarkt.us/aime-mabika/profil/spieler/637490
8,CB,C. Tobin,CB,,Forward Madison,Forward Madison,35.0,United States,United States,right,107000.0,110000,,330000,,2021-12-01,,,,Connor Tobin,United States,34 (35),Forward Madison FC,Defender - Centre-Back,https://www.transfermarkt.us/connor-tobin/profil/spieler/107888
9,CB,P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,110000,,110000,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
10,CB,P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,110000,,110000,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
11,CB,P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,110000,,110000,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
12,CB,P. Cayet,CB,2021-11-30,New England,New England II,22.0,France,France,,107000.0,110000,,110000,,2021-04-28,2022-11-30,,,Pierre Cayet,France,22,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/pierre-cayet/profil/spieler/669359
13,CB,G. Fernandes,CB,,North Carolina FC,Forward Madison,24.0,United States,"United States, Brazil",,0.0,,,,,,,,,,,,,,
14,CB,C. Gomes,CB,,Alverca,North Texas,21.0,Guinea-Bissau,"Guinea-Bissau, Portugal",right,107000.0,110000,,110000,,2019-07-01,,,,Caiser Gomes,Guinea-Bissau,22,North Texas SC,Defender - Centre-Back,https://www.transfermarkt.us/caiser-gomes/profil/spieler/729621
15,CB,C. Gomes,CB,,Alverca,North Texas,21.0,Guinea-Bissau,"Guinea-Bissau, Portugal",right,107000.0,110000,,110000,,2019-07-01,,,,Caiser Gomes,Guinea-Bissau,22,North Texas SC,Defender - Centre-Back,https://www.transfermarkt.us/caiser-gomes/profil/spieler/729621
16,CB,C. Gomes,CB,,Alverca,North Texas,21.0,Guinea-Bissau,"Guinea-Bissau, Portugal",right,107000.0,110000,,110000,,2019-07-01,,,,Caiser Gomes,Guinea-Bissau,22,North Texas SC,Defender - Centre-Back,https://www.transfermarkt.us/caiser-gomes/profil/spieler/729621
17,CM,E. Bernat,CM,,Toronto II,Toronto II,24.0,Spain,Spain,,80250.0,,,,,,,,,,,,,,
18,CM,P. Pearson,CM,,North Carolina FC,North Carolina FC,25.0,United States,United States,,80250.0,83000,,83000,,2022-01-27,2022-11-30,,FSG USA,Peter Pearson,United States,25 (26),North Carolina FC,midfield - Defensive Midfield,https://www.transfermarkt.us/peter-pearson/profil/spieler/644927
19,CM,E. Cerrillo,CM,,Dallas,North Texas,21.0,United States,United States,right,535000.0,,,,,,,,,,,,,,
20,CM,R. Poplawski,CM,,Fort Lauderdale,Fort Lauderdale,24.0,Argentina,"Argentina, United States",,0.0,,,,,,,,,,,,,,
21,CM,M. Hemmings,CM,2021-11-30,Greenville Triumph,Greenville Triumph,24.0,England,England,,107000.0,,,,,,,,,,,,,,
22,CM,C. Enriquez,CM,,Forward Madison,Forward Madison,23.0,United States,United States,right,133750.0,138000,,138000,,2021-06-18,2022-11-30,2021-12-21,Schiano Soccer,Christian Enriquez,United States,23,Forward Madison FC,midfield - Central Midfield,https://www.transfermarkt.us/christian-enriquez/profil/spieler/570449
23,CM,V. Candela,CM,,Tormenta,Tormenta,27.0,Colombia,"Colombia, Italy",right,133750.0,,,,,,,,,,,,,,
24,CM,A. Walker,CM,2021-11-30,Greenville Triumph,Greenville Triumph,31.0,United States,United States,,187250.0,193000,,193000,,2019-02-05,2022-11-30,2022-01-11,,Aaron Walker,United States,31,Greenville Triumph SC,midfield - Central Midfield,https://www.transfermarkt.us/aaron-walker/profil/spieler/373782
25,CM,M. Ferriol,CM,,Tucson,Tucson,23.0,Spain,Spain,right,107000.0,110000,,110000,,2021-12-01,,,Invicta,Manuel Ferriol,Spain,23,FC Tucson,midfield - Central Midfield,https://www.transfermarkt.us/manuel-ferriol/profil/spieler/637060
26,CM,J. Almaguer,CM,2021-11-30,North Texas,North Texas,21.0,United States,United States,,187250.0,193000,,193000,,2022-02-04,2022-11-30,,PFC,Jorge Almaguer,United States,21,North Texas SC,midfield - Central Midfield,https://www.transfermarkt.us/jorge-almaguer/profil/spieler/663311
27,AM,N. Buck,AM,,New England II,New England II,16.0,United States,United States,unknown,214000.0,220000,,220000,,2022-01-18,2025-12-31,,Agent is known - Player under 18,Noel Buck,United States-England,16 (17),New England Revolution II,midfield - Central Midfield,https://www.transfermarkt.us/noel-buck/profil/spieler/882657
28,AM,N. Vinyals,AM,,Richmond Kickers,Richmond Kickers,25.0,Spain,Spain,,187250.0,193000,,193000,,2021-02-11,2022-11-30,2022-01-04,Path2Pro,Nil Vinyals,Spain,25,Richmond Kickers,midfield - Defensive Midfield,https://www.transfermarkt.us/nil-vinyals/profil/spieler/585729
29,AM,D. Bedoya,AM,,Tucson,Tucson,27.0,Colombia,Colombia,right,133750.0,138000,,138000,,2021-03-02,2022-11-30,2022-02-22,DV7 Management,Daniel Bedoya,Colombia,27 (28),FC Tucson,midfield - Attacking Midfield,https://www.transfermarkt.us/daniel-bedoya/profil/spieler/369848
30,AM,G. Acosta,AM,2021-11-30,Fort Lauderdale,Fort Lauderdale,21.0,United States,"United States, Colombia",right,214000.0,220000,,220000,,2020-01-01,2022-12-31,2022-01-13,YMU Group,George Acosta,United States-Colombia,21 (22),Fort Lauderdale CF,midfield - Attacking Midfield,https://www.transfermarkt.us/george-acosta/profil/spieler/370975
31,AM,D. Gallegos,AM,,VCU Rams,Richmond Kickers,18.0,United States,United States,,0.0,,,,,,,,,,,,,,
32,CF,S. Hundal,CF,,Fort Lauderdale,Fort Lauderdale,22.0,Canada,"Canada, India",right,187250.0,193000,,193000,,2021-04-09,2022-11-30,2022-02-24,"Jordie Isen, Football Agent",Shaan Hundal,Canada-India,22,Fort Lauderdale CF,attack - Centre-Forward,https://www.transfermarkt.us/shaan-hundal/profil/spieler/436294
33,CF,J. Galindrez,CF,,Chattanooga Red Wolves,Chattanooga Red Wolves,27.0,Colombia,Colombia,,160500.0,165000,,165000,,2021-02-23,2022-11-30,2021-12-10,,Juan Galindrez,Colombia,27,Chattanooga Red Wolves SC,attack - Centre-Forward,https://www.transfermarkt.us/juan-galindrez/profil/spieler/600903
34,CF,J. Galindrez,CF,,Chattanooga Red Wolves,Chattanooga Red Wolves,27.0,Colombia,Colombia,,160500.0,165000,,165000,,2021-02-23,2022-11-30,2021-12-10,,Juan Galindrez,Colombia,27,Chattanooga Red Wolves SC,attack - Centre-Forward,https://www.transfermarkt.us/juan-galindrez/profil/spieler/600903
35,CF,J. Galindrez,CF,,Chattanooga Red Wolves,Chattanooga Red Wolves,27.0,Colombia,Colombia,,160500.0,165000,,165000,,2021-02-23,2022-11-30,2021-12-10,,Juan Galindrez,Colombia,27,Chattanooga Red Wolves SC,attack - Centre-Forward,https://www.transfermarkt.us/juan-galindrez/profil/spieler/600903
36,CF,J. Galindrez,CF,,Chattanooga Red Wolves,Chattanooga Red Wolves,27.0,Colombia,Colombia,,160500.0,165000,,165000,,2021-02-23,2022-11-30,2021-12-10,,Juan Galindrez,Colombia,27,Chattanooga Red Wolves SC,attack - Centre-Forward,https://www.transfermarkt.us/juan-galindrez/profil/spieler/600903
37,CF,G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,24 (25),Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
38,CF,G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,25,Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
39,CF,G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,25,Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
40,CF,G. Hurst,CF,2021-11-30,Union Omaha,Union Omaha,24.0,Scotland,Scotland,right,240750.0,248000,,248000,,2022-01-17,2023-11-30,,,Greg Hurst,Scotland,25,Union Omaha,attack - Centre-Forward,https://www.transfermarkt.us/greg-hurst/profil/spieler/365032
41,CF,M. Lomis,CF,,Greenville Triumph,Greenville Triumph,26.0,Netherlands,Netherlands,right,187250.0,220000,,275000,,2022-01-25,2022-06-30,,Topnotch Management,Marios Lomis,Netherlands-Greece,26 (27),Greenville Triumph SC,attack - Centre-Forward,https://www.transfermarkt.us/marios-lomis/profil/spieler/323917
42,CF,M. Lomis,CF,,Greenville Triumph,Greenville Triumph,26.0,Netherlands,Netherlands,right,187250.0,220000,,275000,,2022-01-25,2022-06-30,,Topnotch Management,Marios Lomis,Netherlands,27,Greenville Triumph SC,attack - Centre-Forward,https://www.transfermarkt.us/marios-lomis/profil/spieler/323917
43,CF,M. Lomis,CF,,Greenville Triumph,Greenville Triumph,26.0,Netherlands,Netherlands,right,187250.0,220000,,275000,,2022-01-25,2022-06-30,,Topnotch Management,Marios Lomis,Netherlands,27,Greenville Triumph SC,attack - Centre-Forward,https://www.transfermarkt.us/marios-lomis/profil/spieler/323917
44,CF,M. Lomis,CF,,Greenville Triumph,Greenville Triumph,26.0,Netherlands,Netherlands,right,187250.0,220000,,275000,,2022-01-25,2022-06-30,,Topnotch Management,Marios Lomis,Netherlands,27,Greenville Triumph SC,attack - Centre-Forward,https://www.transfermarkt.us/marios-lomis/profil/spieler/323917
45,CF,E. Terzaghi,CF,2022-11-30,Richmond Kickers,Richmond Kickers,32.0,Argentina,Argentina,right,214000.0,220000,,385000,,2020-01-24,2022-11-30,2020-12-01,CMWSportsMngt,Emiliano Terzaghi,Argentina,28 (29),Richmond Kickers,attack - Centre-Forward,https://www.transfermarkt.us/emiliano-terzaghi/profil/spieler/193779
46,CF,E. Terzaghi,CF,2022-11-30,Richmond Kickers,Richmond Kickers,32.0,Argentina,Argentina,right,214000.0,220000,,385000,,2020-01-24,2022-11-30,2020-12-01,CMWSportsMngt,Emiliano Terzaghi,Argentina,29,Richmond Kickers,attack - Centre-Forward,https://www.transfermarkt.us/emiliano-terzaghi/profil/spieler/193779
47,CF,E. Terzaghi,CF,2022-11-30,Richmond Kickers,Richmond Kickers,32.0,Argentina,Argentina,right,214000.0,220000,,385000,,2020-01-24,2022-11-30,2020-12-01,CMWSportsMngt,Emiliano Terzaghi,Argentina,29,Richmond Kickers,attack - Centre-Forward,https://www.transfermarkt.us/emiliano-terzaghi/profil/spieler/193779
48,CF,E. Terzaghi,CF,2022-11-30,Richmond Kickers,Richmond Kickers,32.0,Argentina,Argentina,right,214000.0,220000,,385000,,2020-01-24,2022-11-30,2020-12-01,CMWSportsMngt,Emiliano Terzaghi,Argentina,29,Richmond Kickers,attack - Centre-Forward,https://www.transfermarkt.us/emiliano-terzaghi/profil/spieler/193779
49,CF,G. Calixtro,CF,,Tucson,Tucson,21.0,United States,United States,right,160500.0,165000,,165000,,2021-03-10,2022-11-30,2021-12-02,,Giovanni Calixtro,United States,21,FC Tucson,attack - Centre-Forward,https://www.transfermarkt.us/giovanni-calixtro/profil/spieler/513282
50,CF,R. Sierakowski,CF,2021-11-30,Forward Madison,Forward Madison,24.0,United States,United States,right,160500.0,165000,,193000,,2021-12-01,,,Nordic Sky,Ryan Sierakowski,United States-Poland,24,for 2 clubs,attack - Right Winger,https://www.transfermarkt.us/ryan-sierakowski/profil/spieler/509907
51,CF,J. Keegan,CF,,Greenville Triumph,Forward Madison,30.0,United States,United States,right,187250.0,193000,,193000,,2021-12-21,2022-11-30,,no agent,Jake Keegan,United States,30 (31),Forward Madison FC,attack - Centre-Forward,https://www.transfermarkt.us/jake-keegan/profil/spieler/310391
52,CF,H. González,CF,,Richmond Kickers,Richmond Kickers,29.0,Argentina,Argentina,,0.0,,,,,,,,,,,,,,
53,CF,T. Jacquel,CF,,North Texas,North Texas,24.0,France,France,,80250.0,83000,,83000,,2022-01-08,2023-06-30,,,Thibaut Jacquel,France,24 (25),North Texas SC,attack - Centre-Forward,https://www.transfermarkt.us/thibaut-jacquel/profil/spieler/635970
